ID_REF	VALUE
7896738	3.422018
7896740	3.477354
7896742	5.350751
7896744	4.422751
7896746	12.68958
7896748	10.72626
7896750	3.951248
7896752	11.60231
7896754	6.230675
7896756	5.418842
7896759	5.656722
7896761	7.000727
7896779	6.910483
7896798	7.650894
7896817	8.241416
7896822	7.577861
7896859	5.867504
7896861	3.806307
7896863	6.405322
7896865	7.342308
7896878	7.567772
7896882	6.970652
7896908	7.533066
7896917	6.609607
7896921	6.692513
7896929	8.400456
7896937	6.353766
7896952	7.57314
7896961	7.052469
7896983	6.825845
7896985	6.840327
7897006	8.094072
7897026	5.343218
7897034	7.224494
7897044	6.855727
7897066	6.844844
7897068	9.017365
7897076	5.714142
7897078	8.158632
7897089	7.319902
7897119	7.671759
7897128	6.350303
7897132	6.469941
7897154	6.646542
7897172	7.04751
7897179	7.090921
7897196	5.701262
7897210	5.911107
7897227	5.394716
7897236	7.853741
7897257	7.230139
7897263	6.980484
7897277	5.376426
7897280	6.694813
7897286	7.246874
7897288	7.141364
7897293	8.078623
7897295	5.858037
7897305	6.687822
7897322	6.990449
7897329	6.874133
7897339	6.284784
7897368	4.990142
7897370	8.903205
7897378	6.208147
7897404	9.293863
7897416	5.72664
7897422	7.271517
7897424	5.090417
7897426	4.920461
7897439	6.061818
7897441	7.391461
7897449	7.82652
7897460	6.055928
7897469	6.87481
7897482	7.279772
7897509	5.515127
7897520	5.848637
7897522	7.094522
7897527	7.707564
7897559	4.671922
7897561	7.143877
7897620	8.543343
7897632	6.025839
7897648	7.885955
7897661	7.56886
7897663	7.697456
7897675	4.511946
7897683	3.210901
7897685	7.70596
7897691	6.380622
7897714	6.899785
7897728	7.339684
7897737	7.320609
7897745	8.826562
7897753	6.534514
7897774	6.590352
7897801	11.79595
7897803	8.018836
7897824	8.113867
7897849	8.060137
7897860	7.226429
7897877	8.691722
7897890	6.668821
7897953	7.227775
7897955	4.2361
7897960	4.40417
7897964	4.100843
7897966	4.926094
7897974	5.270636
7897978	3.561353
7897987	3.745846
7897991	6.848636
7897995	3.67364
7897997	5.645685
7898002	5.67456
7898007	4.613569
7898012	4.475703
7898020	5.053554
7898026	4.403017
7898030	5.794402
7898034	5.053554
7898040	4.475703
7898048	4.859675
7898052	6.216742
7898057	7.244499
7898070	7.077031
7898084	7.008511
7898102	5.718227
7898112	6.139617
7898115	7.381981
7898124	5.102769
7898161	9.760686
7898167	5.758399
7898176	5.171897
7898184	5.849159
7898192	6.414986
7898209	7.146236
7898211	6.740016
7898227	7.924636
7898249	6.394551
7898256	5.899478
7898263	7.486234
7898276	9.306484
7898278	8.027479
7898294	2.689179
7898296	5.058998
7898300	5.820144
7898314	5.426073
7898328	8.922235
7898337	8.61766
7898350	5.490977
7898353	5.195372
7898355	4.66972
7898357	5.779308
7898371	5.349859
7898373	4.137137
7898375	13.60554
7898377	6.570608
7898405	3.63112
7898407	4.897689
7898411	13.60554
7898413	5.5571
7898431	5.729323
7898448	5.375637
7898466	4.531266
7898483	7.621397
7898516	5.665352
7898521	6.981756
7898533	7.170416
7898535	3.450056
7898537	6.66669
7898549	7.006028
7898556	7.495115
7898568	5.577055
7898570	6.92767
7898572	3.052255
7898574	9.127161
7898582	7.154871
7898585	9.88567
7898594	6.315451
7898602	6.215637
7898607	6.843461
7898609	6.366173
7898616	6.058497
7898623	5.19017
7898627	5.624431
7898653	8.264043
7898655	6.298358
7898663	7.621271
7898673	6.353646
7898675	3.016916
7898677	7.931728
7898679	6.028881
7898693	8.597357
7898707	7.353419
7898713	7.147068
7898721	3.867335
7898723	6.670031
7898725	6.879939
7898732	4.147615
7898734	3.317849
7898736	6.121233
7898739	6.606208
7898750	6.158373
7898773	6.104762
7898793	11.10992
7898799	11.90909
7898805	11.00042
7898809	7.415611
7898833	7.630363
7898854	5.598221
7898856	8.373937
7898858	5.429309
7898869	6.594015
7898875	11.74462
7898881	6.901153
7898894	6.443623
7898902	9.037251
7898910	8.334787
7898916	5.662717
7898939	5.609231
7898957	7.730977
7898967	6.483519
7898975	9.416049
7898988	9.543079
7898998	5.082245
7899005	9.032077
7899016	8.937346
7899018	7.122939
7899023	7.239524
7899029	7.333515
7899043	9.465069
7899057	6.526136
7899069	5.517497
7899071	6.252919
7899073	3.52259
7899075	5.8873
7899087	5.875684
7899093	7.419682
7899096	7.676755
7899101	6.843837
7899124	5.008989
7899134	6.47534
7899151	3.384505
7899153	10.26567
7899160	10.80831
7899167	5.01915
7899173	6.984828
7899187	10.73925
7899192	8.002178
7899220	8.361039
7899244	6.631772
7899251	3.505116
7899253	8.430159
7899265	9.129767
7899273	7.94437
7899284	8.018947
7899287	8.303758
7899289	6.960788
7899310	6.892448
7899323	6.909553
7899343	7.271951
7899346	10.06178
7899348	6.74404
7899350	6.299487
7899361	7.796737
7899375	3.608101
7899377	7.310207
7899392	8.989274
7899394	8.300303
7899407	6.713306
7899417	6.462755
7899424	7.626439
7899436	5.885245
7899448	5.101943
7899455	7.219087
7899462	6.939312
7899480	13.13089
7899484	4.278134
7899486	6.764137
7899499	4.480952
7899502	12.0233
7899504	6.214009
7899517	3.269968
7899519	6.75004
7899528	6.545423
7899534	6.55194
7899560	7.582855
7899562	7.273992
7899595	5.995853
7899600	5.284818
7899602	4.801068
7899604	6.091491
7899615	7.945659
7899627	7.113035
7899643	6.396017
7899654	7.381739
7899675	7.177976
7899688	7.020981
7899703	7.530306
7899719	6.368499
7899727	6.47731
7899737	8.386982
7899750	6.617923
7899753	7.295214
7899774	7.402037
7899790	6.216696
7899797	6.251224
7899811	2.792161
7899813	8.731117
7899821	7.156031
7899829	6.632198
7899841	6.39849
7899849	6.787504
7899851	6.473822
7899870	8.820883
7899882	5.385665
7899884	4.767136
7899898	5.11893
7899905	6.102334
7899909	7.546529
7899911	5.453235
7899921	5.274601
7899927	5.799044
7899932	5.463397
7899939	7.636082
7899943	5.280089
7899955	11.2208
7899957	7.177754
7899988	2.828555
7899990	7.989389
7900001	7.657141
7900009	6.270841
7900030	7.320801
7900051	6.639922
7900076	5.871782
7900087	6.81655
7900095	8.85137
7900119	7.516419
7900129	6.656617
7900144	6.459295
7900146	7.305413
7900157	12.42272
7900159	5.800428
7900167	6.359519
7900181	3.678225
7900183	6.429068
7900192	7.455875
7900197	5.55182
7900201	6.482757
7900212	4.74879
7900214	3.792726
7900216	8.871088
7900228	10.06512
7900235	7.709521
7900336	6.557516
7900340	6.222687
7900350	4.599273
7900352	6.718792
7900354	6.700005
7900365	5.584188
7900382	10.02573
7900395	6.193305
7900405	3.897506
7900409	4.7029
7900413	7.137958
7900426	9.622097
7900438	4.835545
7900446	5.43327
7900454	5.596303
7900461	4.482166
7900468	8.329683
7900488	4.67572
7900490	4.21966
7900492	6.173061
7900510	6.628437
7900531	6.740563
7900538	7.621058
7900540	5.948984
7900546	7.099884
7900555	3.695537
7900576	6.799222
7900585	11.26739
7900597	6.979821
7900603	5.22487
7900609	6.26987
7900624	5.423435
