ID_REF	VALUE
7896738	3.638191
7896740	4.18751
7896742	7.386358
7896744	5.7987
7896746	12.19186
7896748	10.82589
7896750	5.061796
7896752	10.6678
7896754	7.181672
7896756	6.18522
7896759	5.869783
7896761	7.266845
7896779	7.17453
7896798	7.795568
7896817	8.704941
7896822	8.111172
7896859	5.895075
7896861	3.470155
7896863	6.395481
7896865	7.34585
7896878	7.509199
7896882	6.999027
7896908	7.759474
7896917	7.12027
7896921	7.358786
7896929	8.793908
7896937	6.62946
7896952	8.160766
7896961	7.364957
7896983	6.404843
7896985	7.078709
7897006	8.054436
7897026	5.308949
7897034	6.96775
7897044	7.22556
7897066	6.99824
7897068	9.064354
7897076	6.383888
7897078	8.620356
7897089	7.708582
7897119	8.142714
7897128	6.132812
7897132	5.9201
7897154	7.055628
7897172	7.757524
7897179	7.047511
7897196	5.953032
7897210	6.162828
7897227	4.763262
7897236	7.493722
7897257	6.960125
7897263	7.675756
7897277	5.300673
7897280	6.694143
7897286	7.207486
7897288	7.680064
7897293	8.10122
7897295	6.122514
7897305	6.872549
7897322	7.628219
7897329	7.078709
7897339	6.734854
7897368	5.241997
7897370	8.752768
7897378	6.665106
7897404	9.277643
7897416	6.088068
7897422	7.517097
7897424	5.418878
7897426	5.34023
7897439	6.105258
7897441	7.363759
7897449	7.37947
7897460	6.898575
7897469	7.12403
7897482	7.070439
7897509	5.626389
7897520	5.686798
7897522	9.872691
7897527	7.919641
7897559	5.080873
7897561	7.545769
7897620	8.837662
7897632	6.232225
7897648	8.156885
7897661	7.229768
7897663	8.390215
7897675	5.150198
7897683	3.302393
7897685	7.868241
7897691	6.226541
7897714	7.323525
7897728	8.054436
7897737	6.905013
7897745	9.155267
7897753	6.676851
7897774	6.892924
7897801	11.34036
7897803	9.065174
7897824	8.280554
7897849	8.221638
7897860	6.798392
7897877	8.381827
7897890	7.347533
7897953	7.848531
7897955	4.290703
7897960	4.456258
7897964	3.526731
7897966	4.087867
7897974	5.472018
7897978	3.88137
7897987	4.711719
7897991	6.860184
7897995	3.286566
7897997	6.073244
7898002	5.42102
7898007	4.879048
7898012	4.793583
7898020	5.569636
7898026	4.683978
7898030	6.165708
7898034	5.569636
7898040	4.793583
7898048	5.34023
7898052	6.364829
7898057	6.263916
7898070	8.011272
7898084	6.913017
7898102	6.655981
7898112	8.868582
7898115	8.177429
7898124	6.219374
7898161	9.519744
7898167	6.135654
7898176	6.066278
7898184	6.212905
7898192	7.458152
7898209	7.175032
7898211	7.616014
7898227	7.719772
7898249	6.212905
7898256	6.415102
7898263	8.471042
7898276	9.886404
7898278	8.737565
7898294	2.686803
7898296	5.246983
7898300	5.869809
7898314	6.105258
7898328	8.923054
7898337	8.9667
7898350	5.82891
7898353	5.706322
7898355	4.078197
7898357	6.448318
7898371	5.718619
7898373	4.347957
7898375	13.42957
7898377	6.716907
7898405	3.681975
7898407	5.175244
7898411	13.42957
7898413	5.800148
7898431	5.929704
7898448	5.509048
7898466	4.813692
7898483	8.054436
7898516	5.911147
7898521	6.73921
7898533	7.09676
7898535	3.133201
7898537	6.757254
7898549	8.160766
7898556	7.816284
7898568	6.006914
7898570	7.111956
7898572	2.996014
7898574	9.702658
7898582	7.37337
7898585	8.943034
7898594	6.531547
7898602	6.119161
7898607	6.269969
7898609	5.82045
7898616	5.995722
7898623	5.150198
7898627	5.872797
7898653	7.882675
7898655	6.055512
7898663	7.861954
7898673	7.165014
7898675	3.302393
7898677	8.108217
7898679	5.644155
7898693	6.80544
7898707	7.29519
7898713	7.217657
7898721	3.721114
7898723	5.958315
7898725	6.666263
7898732	4.062599
7898734	3.179991
7898736	6.282037
7898739	6.725795
7898750	6.796659
7898773	6.107799
7898793	10.00213
7898799	11.10136
7898805	10.55661
7898809	7.649931
7898833	8.547578
7898854	5.497526
7898856	8.184162
7898858	6.598138
7898869	6.44588
7898875	11.64796
7898881	7.215057
7898894	6.770529
7898902	9.844723
7898910	9.057875
7898916	5.849877
7898939	6.520784
7898957	8.123314
7898967	6.279391
7898975	9.127162
7898988	10.37026
7898998	5.150198
7899005	9.349857
7899016	8.438143
7899018	7.233
7899023	7.530164
7899029	6.979715
7899043	9.250502
7899057	6.836977
7899069	5.419432
7899071	6.348574
7899073	3.580026
7899075	6.304139
7899087	6.579139
7899093	7.060811
7899096	8.530491
7899101	7.958857
7899124	4.912763
7899134	6.770529
7899151	3.217558
7899153	10.06318
7899160	10.0367
7899167	5.44796
7899173	7.132507
7899187	10.53873
7899192	8.010288
7899220	8.731892
7899244	7.33846
7899251	3.360467
7899253	8.702108
7899265	11.24133
7899273	7.818353
7899284	8.072412
7899287	8.449339
7899289	7.220884
7899310	7.277773
7899323	7.178579
7899343	6.905013
7899346	10.58137
7899348	6.661406
7899350	6.880734
7899361	8.0037
7899375	3.344917
7899377	7.527523
7899392	9.014515
7899394	8.461523
7899407	7.021829
7899417	6.531547
7899424	8.159068
7899436	6.742487
7899448	5.639347
7899455	8.396406
7899462	7.569764
7899480	12.99296
7899484	4.977901
7899486	7.718285
7899499	6.014263
7899502	10.90452
7899504	6.790083
7899517	2.996014
7899519	7.277816
7899528	6.562782
7899534	7.287041
7899560	7.059812
7899562	6.947401
7899595	6.374732
7899600	5.203366
7899602	5.267189
7899604	6.698274
7899615	9.136591
7899627	7.76155
7899643	6.162279
7899654	8.236656
7899675	7.289519
7899688	7.615005
7899703	7.837912
7899719	6.748162
7899727	6.949743
7899737	9.354979
7899750	6.676045
7899753	7.293186
7899774	7.883727
7899790	6.809637
7899797	6.544298
7899811	2.448863
7899813	9.353538
7899821	8.192161
7899829	7.471762
7899841	6.349229
7899849	7.112357
7899851	6.643959
7899870	8.782894
7899882	5.958315
7899884	5.589037
7899898	5.000115
7899905	6.770529
7899909	7.387647
7899911	5.621185
7899921	6.880733
7899927	6.582397
7899932	6.602637
7899939	7.193624
7899943	6.119161
7899955	10.61876
7899957	7.743824
7899988	2.726587
7899990	7.84869
7900001	7.540197
7900009	6.948572
7900030	7.752678
7900051	7.259059
7900076	5.502594
7900087	7.071367
7900095	8.955681
7900119	8.216818
7900129	6.811739
7900144	4.386379
7900146	7.699357
7900157	12.79703
7900159	6.043055
7900167	7.50391
7900181	3.330407
7900183	7.824835
7900192	7.606881
7900197	6.091219
7900201	7.228976
7900212	3.554443
7900214	3.414717
7900216	8.759923
7900228	10.94764
7900235	7.867914
7900336	6.557307
7900340	5.96285
7900350	3.503416
7900352	6.521113
7900354	6.943109
7900365	5.906873
7900382	9.806402
7900395	6.796997
7900405	4.347957
7900409	4.588953
7900413	7.801112
7900426	8.498751
7900438	5.352052
7900446	6.244963
7900454	6.856039
7900461	5.037632
7900468	8.335423
7900488	4.598791
7900490	5.150198
7900492	7.092981
7900510	7.293242
7900531	6.674698
7900538	6.604433
7900540	6.160086
7900546	7.692399
7900555	4.498586
7900576	7.72468
7900585	11.2473
7900597	7.197303
7900603	5.590281
7900609	6.270104
7900624	6.366192
7900633	3.211421
7900635	5.89708
7900639	5.235277
7900652	4.435246
7900654	7.703977
7900658	5.974072
7900683	5.781579
7900699	7.661419
7900710	7.189804
7900792	8.869442
7900833	6.938014
7900857	6.288782
7900876	3.077837
7900878	7.129342
7900888	7.174936
7900911	6.44292
7900922	7.593814
7900931	8.54867
7900944	7.190942
7900957	5.715718
7900962	7.082262
7900977	2.671649
7900979	7.522338
7900999	6.252192
7901010	6.141315
7901036	3.554443
7901038	11.65474
7901046	12.65487
7901048	10.6496
7901050	8.169793
7901052	6.521112
7901054	7.291645
7901071	4.087867
7901073	8.128998
7901087	5.862384
7901091	6.709276
7901102	6.97334
7901110	8.264605
7901123	7.569176
7901135	7.635493
7901140	8.031755
7901175	6.045611
7901187	6.696142
7901192	6.68404
7901212	7.699697
7901219	6.818353
7901227	3.498961
7901229	6.288606
7901247	6.990997
7901253	5.666887
7901256	6.567483
7901272	7.188274
7901287	5.320712
7901293	5.671761
7901299	8.907423
7901309	7.824394
7901311	6.077043
7901314	6.288678
7901316	5.313359
7901334	2.610191
7901336	5.497526
7901338	3.855416
7901340	4.548688
7901342	4.073764
7901357	7.454117
7901359	3.638191
7901361	2.820092
7901363	5.828935
7901374	3.045524
7901376	7.740415
7901383	2.870459
7901385	7.759127
7901418	8.759248
7901426	6.299598
7901443	6.841936
7901445	7.17268
7901447	8.553989
7901460	7.911568
7901466	6.315185
7901477	5.56002
7901479	7.100774
7901497	6.98961
7901513	6.830914
7901535	6.709662
7901549	7.142056
7901557	7.255916
7901563	3.064608
7901565	4.408962
7901577	8.041718
7901592	6.547058
7901601	9.106827
7901611	6.725795
7901613	6.139769
7901634	6.533885
7901662	7.042687
7901675	4.607578
7901687	7.647535
7901691	5.76929
7901696	6.521708
7901710	2.465796
7901712	2.901123
7901714	6.434805
7901720	5.970379
7901732	4.256624
7901744	6.592616
7901746	7.869402
7901748	6.677766
7901765	4.79394
7901788	7.703977
7901802	5.999681
7901804	7.586294
7901852	6.466863
7901854	4.577412
7901856	5.723667
