ID_REF	VALUE
7896738	3.355164
7896740	3.364368
7896742	6.577566
7896744	4.537062
7896746	12.57819
7896748	11.11929
7896750	4.98754
7896752	11.40157
7896754	7.192334
7896756	5.012356
7896759	5.767994
7896761	6.790048
7896779	6.850427
7896798	7.726208
7896817	8.088667
7896822	8.750953
7896859	5.837616
7896861	4.033023
7896863	5.986149
7896865	7.253621
7896878	7.708562
7896882	6.906821
7896908	7.671735
7896917	6.845189
7896921	6.702008
7896929	8.672118
7896937	6.789574
7896952	7.706703
7896961	7.590483
7896983	6.500128
7896985	6.538659
7897006	7.585346
7897026	5.148993
7897034	7.116956
7897044	7.187421
7897066	6.655993
7897068	8.690801
7897076	6.293042
7897078	8.631555
7897089	7.042074
7897119	7.527868
7897128	6.11395
7897132	6.252648
7897154	7.076795
7897172	7.686504
7897179	6.922272
7897196	5.607054
7897210	6.020737
7897227	5.315387
7897236	6.824524
7897257	7.236457
7897263	7.642764
7897277	5.202564
7897280	6.483815
7897286	7.203667
7897288	7.113925
7897293	8.072478
7897295	5.900031
7897305	6.512455
7897322	7.16521
7897329	7.34261
7897339	5.946913
7897368	4.592719
7897370	8.646338
7897378	6.925947
7897404	9.949593
7897416	5.53044
7897422	7.01111
7897424	5.61098
7897426	5.194024
7897439	5.964378
7897441	7.67623
7897449	8.437582
7897460	6.359433
7897469	7.180428
7897482	6.460605
7897509	5.663212
7897520	6.075245
7897522	4.562207
7897527	8.221664
7897559	4.756637
7897561	7.483113
7897620	9.109226
7897632	6.416749
7897648	7.835661
7897661	7.449238
7897663	7.979419
7897675	4.42799
7897683	3.063657
7897685	7.9247
7897691	6.177882
7897714	7.147031
7897728	7.312141
7897737	7.025614
7897745	9.092634
7897753	6.532215
7897774	6.516152
7897801	11.9623
7897803	8.261457
7897824	9.002045
7897849	8.334283
7897860	6.696655
7897877	7.389723
7897890	6.822712
7897953	7.92987
7897955	4.238984
7897960	4.596699
7897964	3.814618
7897966	4.641488
7897974	5.320321
7897978	3.693081
7897987	3.949342
7897991	6.487962
7897995	3.468086
7897997	5.705312
7898002	5.618017
7898007	4.745732
7898012	4.59866
7898020	4.870152
7898026	4.261488
7898030	5.534525
7898034	4.870152
7898040	4.59866
7898048	4.758819
7898052	6.142493
7898057	5.824039
7898070	7.168722
7898084	7.168557
7898102	5.90732
7898112	6.590406
7898115	7.739124
7898124	4.864502
7898161	9.212429
7898167	6.027853
7898176	5.580791
7898184	5.524508
7898192	6.850924
7898209	7.27153
7898211	6.863031
7898227	8.027969
7898249	6.553185
7898256	5.916203
7898263	7.99155
7898276	9.525587
7898278	8.213174
7898294	2.58711
7898296	5.087889
7898300	5.550761
7898314	5.274977
7898328	9.060242
7898337	8.284478
7898350	5.620293
7898353	5.445032
7898355	4.669914
7898357	6.031931
7898371	5.417151
7898373	4.042731
7898375	13.67948
7898377	6.440711
7898405	3.426574
7898407	4.629406
7898411	13.67948
7898413	5.308989
7898431	5.67482
7898448	5.168095
7898466	4.486707
7898483	8.00845
7898516	5.869338
7898521	6.687039
7898533	6.978368
7898535	3.68469
7898537	6.799847
7898549	8.117324
7898556	7.595294
7898568	5.288065
7898570	6.670194
7898572	2.899068
7898574	9.725217
7898582	7.341494
7898585	7.780315
7898594	6.26685
7898602	6.818946
7898607	6.594681
7898609	5.766867
7898616	5.97215
7898623	5.378161
7898627	5.509875
7898653	8.195661
7898655	5.837085
7898663	7.198195
7898673	6.530067
7898675	2.814308
7898677	8.373066
7898679	6.481885
7898693	8.89839
7898707	7.058307
7898713	7.296201
7898721	3.665492
7898723	6.368156
7898725	6.847259
7898732	3.863628
7898734	3.035473
7898736	6.187583
7898739	6.334197
7898750	5.851089
7898773	6.115527
7898793	8.52529
7898799	10.111
7898805	9.313768
7898809	6.457879
7898833	8.551444
7898854	5.766622
7898856	8.340519
7898858	5.504018
7898869	6.724176
7898875	12.05852
7898881	7.140979
7898894	6.854499
7898902	9.183246
7898910	8.387554
7898916	6.152415
7898939	6.601788
7898957	8.058696
7898967	8.191185
7898975	9.830742
7898988	9.864728
7898998	4.888089
7899005	9.180071
7899016	9.2319
7899018	7.11359
7899023	7.544579
7899029	6.514041
7899043	9.662864
7899057	6.847216
7899069	5.388613
7899071	6.089157
7899073	3.682317
7899075	5.644423
7899087	6.311678
7899093	7.092499
7899096	8.418858
7899101	7.761634
7899124	4.911316
7899134	7.489785
7899151	3.385939
7899153	9.857832
7899160	8.18603
7899167	4.732696
7899173	7.297794
7899187	10.68381
