ID_REF	VALUE
7896738	3.959855
7896740	4.18751
7896742	6.811113
7896744	5.7987
7896746	12.21089
7896748	10.42223
7896750	3.80276
7896752	10.72561
7896754	7.082539
7896756	6.249365
7896759	5.929904
7896761	7.613805
7896779	7.267225
7896798	7.844728
7896817	8.418587
7896822	7.5092
7896859	5.895075
7896861	3.470155
7896863	6.61506
7896865	7.892143
7896878	7.509199
7896882	7.182435
7896908	7.759474
7896917	7.12027
7896921	7.438039
7896929	8.793908
7896937	6.62946
7896952	8.160766
7896961	7.347615
7896983	6.871257
7896985	7.350563
7897006	8.362897
7897026	5.308949
7897034	7.292522
7897044	7.22556
7897066	6.99824
7897068	9.157572
7897076	6.680203
7897078	8.266992
7897089	7.911163
7897119	8.110472
7897128	6.707076
7897132	6.160086
7897154	7.055628
7897172	7.487424
7897179	7.337749
7897196	6.189451
7897210	6.287964
7897227	5.080354
7897236	8.223332
7897257	6.960125
7897263	7.413903
7897277	5.513625
7897280	7.059741
7897286	7.646403
7897288	7.548138
7897293	8.707613
7897295	6.286531
7897305	6.872549
7897322	7.420338
7897329	7.305
7897339	6.734854
7897368	5.241997
7897370	8.142939
7897378	6.291538
7897404	8.887259
7897416	6.431346
7897422	7.739051
7897424	5.583709
7897426	5.487237
7897439	6.105258
7897441	7.037342
7897449	7.28681
7897460	6.491129
7897469	7.003497
7897482	8.190016
7897509	5.626389
7897520	5.686798
7897522	7.214716
7897527	7.643883
7897559	5.302417
7897561	7.283958
7897620	8.289437
7897632	6.232225
7897648	7.995717
7897661	7.687741
7897663	8.244474
7897675	5.150198
7897683	3.302393
7897685	7.868241
7897691	6.270104
7897714	7.323525
7897728	8.054436
7897737	6.905013
7897745	8.559626
7897753	6.79218
7897774	6.892924
7897801	11.56144
7897803	7.638621
7897824	8.025667
7897849	8.221638
7897860	7.225747
7897877	8.753463
7897890	7.051426
7897953	7.035265
7897955	4.290703
7897960	4.456258
7897964	3.60516
7897966	4.193541
7897974	5.611504
7897978	4.233449
