ID_REF	VALUE
7896738	3.401922
7896740	3.421121
7896742	5.25901
7896744	4.703422
7896746	12.6039
7896748	11.07484
7896750	3.931193
7896752	11.37015
7896754	6.776503
7896756	5.705642
7896759	6.597771
7896761	6.631341
7896779	6.976984
7896798	7.867856
7896817	6.9363
7896822	8.308744
7896859	5.968604
7896861	3.911657
7896863	6.260994
7896865	7.421829
7896878	7.706531
7896882	6.681058
7896908	7.919146
7896917	7.066508
7896921	6.674534
7896929	8.594648
7896937	7.19928
7896952	8.198946
7896961	8.237273
7896983	6.509836
7896985	6.796629
7897006	7.657271
7897026	5.63034
7897034	7.215826
7897044	7.853646
7897066	7.178708
7897068	9.127543
7897076	6.138882
7897078	9.160762
7897089	6.963065
7897119	7.850012
7897128	5.976855
7897132	6.094664
7897154	6.916986
7897172	7.161297
7897179	6.844913
7897196	5.603354
7897210	6.114892
7897227	5.25543
7897236	6.185897
7897257	7.398588
7897263	7.553337
7897277	5.326899
7897280	6.529159
7897286	6.938224
7897288	6.962023
7897293	7.954722
7897295	6.092879
7897305	6.470827
7897322	7.176133
7897329	6.973048
7897339	5.769903
7897368	4.728008
7897370	8.219644
7897378	6.682817
7897404	9.897329
7897416	5.515016
7897422	7.067421
7897424	5.137957
7897426	5.389918
7897439	6.339656
7897441	7.182136
7897449	8.867898
7897460	6.359636
7897469	7.772249
7897482	6.125093
7897509	5.519224
7897520	6.09856
7897522	5.618642
7897527	8.921165
7897559	4.497763
7897561	7.795335
7897620	8.888675
7897632	6.425876
7897648	8.266159
7897661	7.258955
7897663	8.274873
7897675	4.626458
7897683	3.254163
7897685	8.316031
7897691	6.071437
7897714	6.756355
7897728	7.226325
7897737	7.054368
7897745	9.524981
7897753	6.440005
7897774	6.899916
7897801	11.48201
7897803	9.603107
7897824	8.311968
7897849	8.053118
7897860	6.499815
7897877	6.682873
7897890	7.254128
7897953	9.074805
7897955	4.12531
7897960	4.376392
7897964	3.660398
7897966	4.473423
7897974	5.08318
7897978	3.508813
7897987	3.692518
7897991	6.777136
7897995	3.175982
7897997	5.488397
7898002	5.212254
7898007	4.542684
7898012	4.435356
7898020	4.891619
7898026	4.292466
7898030	5.764545
7898034	4.891619
7898040	4.435356
7898048	4.686969
7898052	6.093349
7898057	5.578109
7898070	7.011624
7898084	8.176506
7898102	6.185712
7898112	7.347222
7898115	7.216748
7898124	4.850644
7898161	8.136558
7898167	5.602385
7898176	5.367394
7898184	5.589303
7898192	7.382993
7898209	8.237821
7898211	7.904963
7898227	7.601746
7898249	6.45098
7898256	5.606692
7898263	7.60535
7898276	9.391799
7898278	8.930858
7898294	2.552929
7898296	4.762445
7898300	5.657743
7898314	5.264647
7898328	8.976106
7898337	8.098618
7898350	5.779972
7898353	5.318616
7898355	3.511981
7898357	6.680813
7898371	5.424587
7898373	3.736685
7898375	13.29143
7898377	6.537845
7898405	3.689946
7898407	4.448059
7898411	13.29143
7898413	5.597849
7898431	5.542504
7898448	5.262434
7898466	4.539351
7898483	8.106204
7898516	5.560591
7898521	6.059665
7898533	6.943328
7898535	3.529803
7898537	6.506608
7898549	8.790419
7898556	7.892558
7898568	5.294099
7898570	6.399913
7898572	2.905592
7898574	9.497689
7898582	7.391206
7898585	8.59984
7898594	6.357703
7898602	6.993684
7898607	6.284613
7898609	5.69456
7898616	5.844539
7898623	5.409214
7898627	5.508441
7898653	7.977549
7898655	6.014183
7898663	8.057564
7898673	6.375911
7898675	2.930401
7898677	8.405996
7898679	6.220806
7898693	6.04043
7898707	6.919652
7898713	6.818931
7898721	3.964
7898723	6.548419
7898725	6.549268
7898732	3.759116
7898734	3.174519
7898736	6.315072
7898739	6.328558
7898750	6.338758
7898773	6.527564
7898793	7.089749
7898799	8.510662
7898805	7.652864
7898809	6.040659
7898833	8.968484
7898854	5.689619
7898856	7.814814
7898858	5.556973
7898869	6.320712
7898875	12.13826
7898881	7.696428
7898894	7.134233
7898902	9.383617
7898910	8.696972
7898916	6.038826
7898939	7.519231
7898957	8.264507
7898967	7.744286
7898975	9.91688
7898988	9.940523
7898998	5.169312
7899005	9.086369
7899016	9.263242
7899018	7.668349
7899023	7.29948
7899029	6.498741
7899043	9.683926
7899057	7.651782
7899069	5.321564
7899071	6.060977
7899073	4.108118
7899075	8.636858
7899087	6.753932
7899093	7.008818
7899096	8.673496
7899101	7.987037
7899124	4.839754
7899134	7.204555
7899151	3.321913
7899153	9.273581
7899160	7.172117
7899167	4.933914
7899173	7.444695
7899187	10.6172
7899192	7.891434
7899220	8.942643
7899244	7.609041
7899251	3.633438
7899253	9.001621
7899265	9.357423
7899273	8.37124
7899284	8.094913
7899287	8.007167
7899289	7.242754
7899310	7.553401
7899323	7.582489
7899343	7.243433
7899346	10.6146
7899348	6.307615
7899350	6.725981
7899361	7.772232
7899375	3.245394
7899377	7.878005
7899392	9.902132
7899394	6.234366
7899407	7.626796
7899417	6.426958
7899424	8.322966
7899436	5.923331
7899448	5.11271
7899455	8.325551
7899462	7.861245
7899480	13.46564
7899484	5.010238
7899486	6.9151
7899499	4.468193
7899502	11.31792
7899504	5.982354
7899517	2.981392
7899519	7.473874
7899528	6.656332
7899534	7.225588
7899560	6.950578
7899562	7.862701
7899595	6.405122
7899600	5.203172
7899602	5.11728
7899604	6.454516
7899615	8.821554
7899627	7.072097
7899643	5.973356
7899654	7.563293
7899675	7.17621
7899688	7.621133
7899703	7.753192
7899719	6.558122
7899727	6.631489
7899737	9.184496
7899750	6.529564
7899753	6.307347
7899774	7.433959
7899790	6.864172
7899797	6.501125
7899811	2.729163
7899813	9.098562
7899821	7.25108
7899829	6.794148
7899841	6.182159
7899849	6.659912
7899851	6.28305
7899870	8.791288
7899882	5.537834
7899884	4.659335
7899898	5.160887
7899905	6.114876
7899909	7.147118
7899911	5.554368
7899921	5.144439
7899927	5.648222
7899932	5.550066
7899939	6.961208
7899943	5.74507
7899955	10.81981
7899957	7.711465
7899988	3.209825
7899990	8.437114
7900001	7.407213
7900009	6.226446
7900030	7.809704
7900051	6.806834
7900076	5.635649
7900087	6.856618
7900095	8.210065
7900119	7.983377
7900129	6.477897
7900144	5.779768
7900146	6.779928
7900157	12.58212
7900159	5.650436
7900167	6.902416
7900181	3.265079
7900183	7.018638
7900192	7.53362
7900197	5.638133
7900201	6.949105
7900212	4.077395
7900214	3.691796
7900216	8.493218
7900228	10.21359
7900235	7.588631
7900336	6.786378
7900340	6.08683
7900350	4.689587
7900352	6.586358
7900354	6.777675
7900365	5.17364
7900382	9.052213
7900395	6.655542
7900405	3.499183
7900409	4.642127
7900413	7.583238
7900426	7.318041
7900438	5.144118
7900446	5.398808
7900454	5.469379
7900461	4.208425
7900468	8.523186
7900488	4.140447
7900490	4.101458
7900492	7.779219
7900510	7.411725
7900531	6.728079
7900538	7.300267
7900540	6.000452
7900546	7.631429
7900555	3.921164
7900576	7.125178
7900585	11.48775
7900597	7.4144
7900603	5.450981
7900609	6.119483
7900624	5.431558
7900633	3.713309
7900635	5.489482
7900639	5.130054
7900652	4.192713
7900654	7.966261
7900658	5.536134
7900683	5.903142
7900699	7.702471
7900710	7.407078
7900792	9.406653
7900833	6.78797
7900857	7.331687
7900876	2.831308
7900878	7.564634
7900888	7.428753
7900911	7.214347
7900922	8.896874
7900931	9.494165
7900944	7.296533
7900957	5.839003
7900962	6.791499
7900977	2.900226
7900979	7.897092
7900999	5.958859
7901010	6.204138
7901036	3.959947
7901038	12.22601
7901046	13.35308
7901048	11.91844
7901050	10.08547
7901052	8.186659
7901054	6.49884
7901071	4.215754
7901073	7.906295
7901087	6.890298
7901091	7.094474
7901102	7.979536
7901110	8.511591
7901123	7.454063
7901135	7.978944
7901140	8.661097
7901175	4.743834
7901187	5.747395
7901192	6.701408
7901212	8.271006
7901219	6.747326
7901227	3.991149
7901229	6.065798
7901247	6.97466
7901253	5.423132
7901256	5.078952
7901272	6.820897
7901287	4.054126
7901293	5.676673
7901299	9.625022
7901309	7.819167
7901311	6.08461
7901314	5.681876
7901316	5.361418
7901334	2.835939
7901336	5.914331
7901338	3.276068
7901340	4.308568
7901342	3.762659
7901357	7.517954
7901359	3.668658
7901361	2.716625
7901363	5.641316
7901374	3.416317
7901376	7.379274
7901383	3.736906
7901385	7.643362
7901418	8.556849
7901426	6.251079
7901443	6.68496
7901445	7.359971
7901447	7.550206
7901460	7.893904
7901466	5.503178
7901477	6.07656
7901479	6.968751
7901497	5.527399
7901513	7.043601
7901535	6.466456
7901549	7.696778
7901557	7.095781
7901563	3.352493
7901565	5.8488
7901577	7.562886
7901592	6.296118
7901601	9.285467
7901611	5.996484
7901613	5.642208
7901634	5.805449
7901662	7.215473
7901675	4.140106
7901687	7.058976
7901691	5.358502
7901696	6.255017
7901710	2.724483
7901712	2.815475
7901714	5.855468
7901720	4.261186
7901732	3.976977
7901744	7.0656
7901746	7.405238
7901748	6.779772
7901765	5.683105
7901788	8.747834
7901802	5.118788
7901804	6.998553
7901852	6.631408
7901854	4.248225
7901856	5.976492
7901858	7.221563
7901860	3.275258
7901867	6.884042
7901883	3.893487
7901895	4.365423
7901911	4.370197
7901913	6.083858
7901915	5.871244
7901931	3.844578
7901948	3.370895
7901951	7.733118
7901967	6.351935
7901969	6.921724
7901982	3.231978
7901993	7.149212
7902023	6.794862
7902036	6.823252
7902038	7.099888
7902043	5.834208
7902072	4.080865
7902074	5.877041
7902102	3.363162
7902104	6.385958
7902127	5.145305
7902158	3.640058
7902166	6.033385
7902189	3.427198
7902203	5.083726
7902205	7.959509
7902223	7.489073
7902225	3.234038
7902227	6.486224
7902235	4.370847
7902265	7.022821
7902267	7.041493
7902269	9.390963
7902282	6.403975
7902290	4.633732
7902306	3.83536
7902308	5.371382
7902317	3.530211
7902345	6.808766
7902353	4.393248
7902365	4.4556
7902367	7.539901
7902382	6.534069
7902396	5.487772
7902398	9.948487
7902400	6.824473
7902402	2.777275
7902425	3.863806
7902435	7.882592
7902439	3.482964
7902441	7.46634
7902448	12.04636
7902452	4.664195
7902472	6.617807
7902474	8.059916
7902476	6.222094
7902493	8.247395
7902495	4.723669
7902512	4.67333
7902518	4.603918
7902527	4.261043
7902541	6.912863
7902553	5.684702
7902563	5.004989
7902565	5.348092
7902592	5.780572
7902594	4.771337
7902611	6.358266
7902615	3.072098
7902617	3.881995
7902623	3.775268
7902634	7.326618
7902645	3.800194
7902660	4.236178
7902685	3.288781
7902687	7.170262
7902700	4.969162
7902702	3.904849
7902721	3.405784
7902738	4.16987
7902754	3.643777
7902771	8.045845
7902787	4.427698
7902789	7.794451
7902799	5.199803
7902808	5.071953
7902810	6.25111
7902822	6.594931
7902848	7.12547
7902850	4.080545
7902861	7.776054
7902874	8.510373
7902883	8.817553
7902891	6.005264
7902909	6.654266
7902911	5.924087
7902913	6.392081
7902930	3.942295
7902934	3.647298
7902957	7.253262
7902965	3.446614
7902977	4.421628
7902984	2.978298
7902992	6.210258
7903008	4.419774
7903010	6.968772
7903022	11.76639
7903024	4.710031
7903026	2.852118
7903028	3.640836
7903030	3.167765
7903032	6.460017
7903049	5.060255
7903079	7.324132
7903090	2.608097
7903092	7.536279
7903109	2.64009
7903111	3.091092
7903113	3.034376
7903115	3.739397
7903117	4.823738
7903119	7.4088
7903144	7.048162
7903162	5.513429
7903171	5.836034
7903181	3.414175
7903183	6.428615
7903186	4.011654
7903188	6.465577
7903203	4.502942
7903214	4.884107
7903227	5.233229
7903239	5.77224
7903281	6.432304
7903292	3.394036
7903294	7.379799
7903308	5.668133
7903321	6.993645
7903334	5.022826
7903355	6.937675
7903358	5.250418
7903369	7.306693
7903389	7.874715
7903391	5.308854
7903393	6.125049
7903399	3.947498
7903401	3.527771
7903404	7.090403
7903407	5.291629
7903414	4.830489
7903425	4.578304
7903440	4.578304
7903455	3.019675
7903457	6.343021
7903461	4.367482
7903474	8.759085
7903478	5.837571
7903490	5.972088
7903507	7.919292
7903519	7.909273
7903530	4.456231
7903541	6.067216
7903561	3.646878
7903565	6.898986
7903582	12.32387
7903586	8.555366
7903592	9.017828
7903619	8.279478
7903632	8.365046
7903667	5.989822
7903676	6.815234
7903688	6.933625
7903694	7.299979
7903703	7.338507
7903717	8.088953
7903719	7.715687
7903742	6.979984
7903753	6.123906
7903765	5.258973
7903777	4.391223
7903786	6.478089
7903803	7.048912
7903827	6.978485
7903851	5.757055
7903854	5.20656
7903867	6.618848
7903876	2.800755
7903878	8.019078
7903884	5.4863
7903889	4.202592
7903893	6.321764
7903906	3.503337
7903908	6.911087
7903920	7.636921
7903935	4.096709
7903945	4.659985
7903959	4.754542
7903970	6.248289
7903972	8.245098
7903980	6.663413
7903988	5.843599
7904000	5.924986
7904014	3.131863
7904016	2.824069
7904018	6.876046
7904025	6.234032
7904036	7.577891
7904048	6.755307
7904050	7.329703
7904073	6.204772
7904082	5.452553
7904084	6.041882
7904086	6.06611
7904106	7.351436
7904131	5.722295
7904137	7.702483
7904158	5.82313
7904164	3.855327
7904166	5.20749
7904168	3.291496
7904203	3.478799
7904209	6.467238
7904211	6.425818
7904226	4.567497
7904244	4.084389
7904252	3.443994
7904254	10.65317
7904281	3.634161
7904287	5.647377
7904293	6.960862
7904303	5.159115
7904314	6.245218
7904340	7.791771
7904361	6.31424
7904364	6.098378
7904394	3.758007
7904396	4.599562
7904408	3.578913
7904414	4.641602
7904417	3.72548
7904421	3.613742
7904429	5.182078
7904431	3.9235
7904433	8.473935
7904448	4.87444
7904450	3.959415
7904452	6.425564
7904463	8.804572
7904465	8.574509
7904469	7.817446
7904478	6.67905
7904480	5.593877
7904482	8.283122
7904486	11.36335
7904500	11.69236
7904506	11.62085
7904562	11.59752
7904569	11.77274
7904572	5.53051
7904574	9.071459
7904693	4.29197
7904695	7.29854
7904702	8.43716
7904713	5.729252
7904715	8.425912
7904717	5.334246
7904726	9.512285
7904737	5.806075
7904742	7.212049
7904751	5.981818
7904755	7.626902
7904761	5.197418
7904796	5.089976
7904812	7.106363
7904830	7.256995
7904843	5.398526
7904853	6.015453
7904863	7.656593
7904865	3.5323
7904869	8.500187
7904872	3.762468
7904874	11.49566
7904877	4.662414
7904879	8.066848
7904881	9.449566
7904883	6.717113
7904907	7.38916
7904921	3.984914
7904923	3.851161
7904927	4.61338
7904930	6.435566
7904948	8.500187
7904951	3.762468
7904953	3.362343
7904955	7.476014
7904959	6.505512
7904963	5.593877
7904965	6.131265
7904967	5.486169
7904969	6.834502
7904974	11.07815
7904976	9.448976
7904997	7.732934
7904999	9.482511
7905016	7.732934
7905018	6.172397
7905020	6.568922
7905025	6.325171
7905028	7.477705
7905033	3.428622
7905035	6.589133
7905037	6.627716
7905043	5.533835
7905047	5.005904
7905051	5.534875
7905054	4.265444
7905058	5.700276
7905060	5.536257
7905067	7.060389
7905077	4.568055
7905079	8.932223
7905085	9.620724
7905088	8.770511
7905092	7.279058
7905099	6.238996
7905116	6.294679
7905129	4.279008
7905131	4.520279
7905145	6.03128
7905147	6.291538
7905154	6.474185
7905163	8.474861
7905171	6.798307
7905185	7.289622
7905198	7.421172
7905220	6.444917
7905233	6.370821
7905254	4.276021
7905256	5.112029
7905258	7.084611
7905283	6.396942
7905299	7.108608
7905308	5.38346
7905324	7.758082
7905329	5.982306
7905339	5.718734
7905349	6.691267
7905355	7.809305
7905365	7.086816
7905374	7.00115
7905382	7.372864
7905395	9.324747
7905406	6.35214
7905428	6.267582
7905444	6.676428
7905462	2.955501
7905464	5.446924
7905474	5.390924
7905481	6.262612
7905483	6.314209
7905486	4.933396
7905490	5.445002
7905492	7.413893
7905496	4.674527
7905500	5.085443
7905503	4.603534
7905505	6.188739
