ID_REF	VALUE
7896738	3.638191
7896740	4.18751
7896742	7.722609
7896744	5.7987
7896746	11.86882
7896748	10.65586
7896750	4.322731
7896752	10.39589
7896754	7.181672
7896756	6.036204
7896759	5.869783
7896761	7.232906
7896779	7.082262
7896798	7.795568
7896817	8.438143
7896822	8.111172
7896859	5.895075
7896861	3.470155
7896863	6.395481
7896865	7.34585
7896878	7.509199
7896882	6.999027
7896908	7.759474
7896917	7.003255
7896921	7.358786
7896929	8.793908
7896937	6.62946
7896952	8.160766
7896961	7.364957
7896983	6.404843
7896985	7.047388
7897006	8.054436
7897026	5.244901
7897034	6.96775
7897044	7.22556
7897066	6.99824
7897068	9.064354
7897076	6.383888
7897078	8.592525
7897089	7.682437
7897119	7.995634
7897128	6.099811
7897132	5.84628
7897154	7.055628
7897172	7.612336
7897179	7.047511
7897196	5.953032
7897210	6.162828
7897227	4.761054
7897236	7.9802
7897257	6.960125
7897263	7.675756
7897277	5.300673
7897280	6.497334
7897286	7.071577
7897288	7.548138
7897293	8.111191
7897295	6.122514
7897305	6.872549
7897322	7.628219
7897329	7.078709
7897339	6.734854
7897368	5.241997
7897370	8.755621
7897378	6.665106
7897404	9.257074
7897416	5.963922
7897422	7.517097
7897424	5.418878
7897426	5.34023
7897439	6.105258
7897441	7.397743
7897449	7.37947
7897460	6.749591
7897469	7.003497
7897482	7.752495
7897509	5.626389
7897520	5.686798
7897522	9.108068
7897527	7.919641
7897559	5.080873
7897561	7.545769
7897620	8.904415
7897632	6.232225
7897648	8.156885
7897661	7.194112
7897663	8.390215
7897675	5.150198
7897683	3.302393
7897685	7.868241
7897691	6.061204
7897714	7.323525
7897728	8.054436
7897737	6.860125
7897745	9.155267
7897753	6.676851
7897774	6.892924
7897801	11.34036
7897803	8.835099
7897824	8.254314
7897849	8.221638
7897860	6.815793
7897877	8.594861
7897890	7.426704
7897953	7.545608
7897955	4.290703
7897960	4.456258
7897964	3.526731
7897966	4.087867
7897974	5.472018
7897978	3.775558
7897987	4.711719
7897991	6.860184
7897995	3.132709
7897997	5.968913
7898002	5.277606
7898007	4.72437
7898012	4.731633
7898020	5.56002
7898026	4.683978
7898030	6.172016
7898034	5.56002
7898040	4.731633
7898048	5.34023
7898052	6.364829
7898057	6.770529
7898070	8.049189
7898084	6.913017
7898102	6.655981
7898112	7.82979
7898115	8.072412
7898124	6.219374
7898161	9.61527
7898167	5.947886
7898176	5.871699
7898184	6.212905
7898192	7.458152
7898209	7.175032
7898211	7.773529
7898227	7.749251
7898249	6.212905
7898256	6.423993
7898263	8.164663
7898276	9.613227
7898278	8.840594
7898294	2.686803
7898296	5.246983
7898300	5.862237
7898314	6.105258
7898328	8.891661
7898337	8.9667
7898350	5.82891
7898353	5.750712
7898355	3.972523
7898357	6.448318
7898371	6.044325
7898373	4.460761
7898375	13.1002
7898377	6.716907
7898405	3.66449
7898407	5.163356
7898411	13.1002
7898413	5.800148
7898431	5.709886
7898448	5.509048
7898466	4.813692
7898483	7.957453
7898516	5.911147
7898521	6.73921
7898533	7.09676
7898535	3.133201
7898537	6.757254
7898549	7.657042
7898556	7.816284
7898568	6.006914
7898570	6.997676
7898572	2.996014
7898574	9.458976
7898582	7.287041
7898585	8.943034
7898594	6.506481
7898602	6.119161
7898607	5.911147
7898609	5.82045
7898616	6.089527
7898623	5.150198
7898627	5.872797
7898653	8.055507
7898655	6.055512
7898663	7.861954
7898673	7.165014
7898675	3.302393
7898677	8.060227
7898679	5.644155
7898693	6.875902
7898707	7.317316
7898713	7.082712
7898721	3.721114
7898723	5.958315
7898725	6.495708
7898732	3.670166
7898734	3.179991
7898736	6.282037
7898739	6.725795
7898750	6.796659
7898773	6.068707
7898793	10.47417
7898799	11.39428
7898805	10.67876
7898809	7.649931
7898833	8.348049
7898854	5.497526
7898856	7.647766
7898858	6.567483
7898869	6.44588
7898875	11.63617
7898881	7.215057
7898894	6.770529
7898902	9.650072
7898910	9.057875
7898916	5.849877
7898939	6.395359
7898957	8.123314
7898967	6.279391
7898975	9.127162
7898988	10.28931
7898998	5.450407
7899005	9.300793
7899016	8.991103
7899018	7.368359
7899023	7.718873
7899029	7.238004
7899043	9.149928
7899057	6.836977
7899069	5.368701
7899071	6.167778
7899073	3.580026
7899075	6.292419
7899087	6.579139
7899093	7.060811
7899096	8.011637
7899101	7.906642
7899124	4.912763
7899134	6.770529
7899151	3.217558
7899153	10.06318
7899160	10.72439
7899167	5.317799
7899173	7.262195
7899187	10.57392
7899192	8.044104
7899220	8.731892
7899244	7.33846
7899251	3.360467
7899253	8.656227
7899265	10.7489
7899273	7.747146
7899284	7.921904
7899287	8.234468
7899289	7.220884
7899310	7.277773
7899323	7.190197
7899343	6.787507
7899346	10.31759
7899348	6.459881
7899350	6.880734
7899361	8.027043
7899375	3.344917
7899377	7.527523
7899392	8.996622
7899394	8.478003
7899407	7.015051
7899417	6.531547
7899424	8.159068
7899436	6.57759
7899448	5.639347
7899455	8.302013
7899462	7.528614
7899480	12.85165
7899484	4.977901
7899486	7.734379
7899499	5.519693
7899502	10.92363
7899504	6.790083
7899517	2.996014
7899519	7.220884
7899528	6.131778
7899534	7.644172
7899560	7.059812
7899562	6.922238
7899595	6.374732
7899600	5.203366
7899602	5.267189
7899604	6.698274
7899615	8.939256
7899627	7.76155
7899643	6.288678
7899654	8.228004
7899675	7.289519
7899688	7.518281
7899703	7.877605
7899719	6.748162
7899727	6.949743
7899737	9.246354
7899750	6.676045
7899753	7.862278
7899774	7.883727
7899790	6.809637
7899797	6.36359
7899811	2.448863
7899813	9.371805
7899821	7.921904
7899829	7.537948
7899841	6.337068
7899849	6.905032
7899851	6.643959
7899870	8.782894
7899882	5.958315
7899884	5.447258
7899898	5.000115
7899905	6.770529
7899909	7.205005
7899911	5.604491
7899921	6.566803
7899927	6.582397
7899932	6.444019
7899939	7.193624
7899943	6.119161
7899955	10.02933
7899957	7.734537
7899988	2.670953
7899990	7.84869
7900001	7.50777
7900009	6.948572
7900030	7.824622
7900051	7.603432
7900076	5.502594
7900087	7.060811
7900095	8.955681
7900119	8.216818
7900129	6.811739
7900144	4.386379
7900146	7.699357
7900157	12.52537
7900159	6.043055
7900167	7.092994
7900181	3.330407
7900183	7.543186
7900192	7.532833
7900197	6.091219
7900201	6.980455
7900212	3.554443
7900214	3.414717
7900216	8.759923
7900228	10.72011
7900235	8.111191
7900336	6.557307
7900340	6.142483
7900350	3.450708
7900352	6.521113
7900354	6.943109
7900365	5.906873
7900382	9.918736
7900395	6.859783
7900405	4.347957
7900409	4.588953
7900413	7.666066
7900426	9.41419
7900438	5.029418
7900446	6.244963
7900454	6.856039
7900461	5.037632
7900468	8.404088
7900488	4.598791
7900490	5.150198
7900492	6.748335
7900510	7.028024
7900531	6.653206
7900538	6.521113
7900540	6.160086
7900546	7.692399
7900555	4.498586
7900576	7.561561
7900585	11.09529
7900597	7.197303
7900603	5.590281
7900609	6.270104
7900624	6.096403
7900633	3.211421
7900635	5.862384
7900639	5.034724
7900652	4.435246
7900654	7.359575
7900658	6.288678
7900683	5.781579
7900699	7.471361
7900710	7.204675
7900792	8.639889
7900833	6.938014
7900857	6.469149
7900876	3.077837
7900878	7.129342
7900888	7.184531
7900911	6.423601
7900922	7.593814
7900931	8.440913
7900944	7.190942
7900957	5.51849
7900962	7.082262
7900977	2.664631
7900979	7.522338
7900999	6.252192
7901010	6.141315
7901036	3.554443
7901038	11.50045
7901046	12.76811
7901048	10.76833
7901050	8.236656
7901052	6.626913
7901054	7.553391
7901071	4.028429
7901073	8.096105
7901087	5.862384
7901091	6.709276
7901102	6.97334
7901110	8.264605
7901123	7.569176
7901135	7.523659
7901140	8.031755
7901175	6.02758
7901187	6.556067
7901192	6.68404
7901212	7.556186
7901219	6.790863
7901227	3.498961
7901229	6.288606
7901247	6.998258
7901253	5.666887
7901256	6.567483
7901272	6.957998
7901287	5.398395
7901293	5.671761
7901299	8.907423
7901309	7.912061
7901311	6.077043
7901314	6.288678
7901316	5.500369
7901334	2.610191
7901336	5.497526
7901338	3.715897
7901340	4.548688
7901342	4.073764
7901357	7.170528
7901359	3.638191
7901361	2.296888
7901363	5.828935
7901374	3.045524
7901376	7.740415
7901383	2.796646
7901385	7.887408
7901418	8.493897
7901426	5.82045
7901443	6.905111
7901445	7.17268
7901447	8.553989
7901460	7.911568
7901466	6.581976
7901477	5.56002
7901479	7.168466
7901497	6.879542
7901513	6.830914
7901535	7.527654
7901549	7.142056
7901557	7.255916
7901563	3.064608
7901565	4.408962
7901577	8.041718
7901592	6.547058
7901601	8.787265
7901611	6.725795
7901613	6.139769
7901634	6.32021
7901662	7.042687
7901675	4.607578
7901687	7.546473
7901691	5.76929
7901696	6.518563
7901710	2.263391
7901712	2.901123
7901714	6.434805
7901720	5.994729
7901732	4.256624
7901744	6.328807
7901746	7.65906
7901748	6.639226
7901765	4.79394
7901788	7.594147
7901802	5.84903
7901804	7.475204
7901852	6.434805
7901854	4.577412
7901856	5.723667
