ID_REF	VALUE
7896738	3.307748
7896740	3.363371
7896742	6.099011
7896744	4.292016
7896746	12.68524
7896748	10.59383
7896750	3.302289
7896752	11.27284
7896754	5.959367
7896756	5.296373
7896759	5.522971
7896761	7.284705
7896779	6.922775
7896798	7.621432
7896817	8.242922
7896822	7.540683
7896859	5.912543
7896861	3.692284
7896863	6.515213
7896865	7.264118
7896878	7.463435
7896882	7.020571
7896908	7.5552
7896917	6.454459
7896921	6.503789
7896929	8.38338
7896937	6.380797
7896952	7.674785
7896961	7.064375
7896983	6.596536
7896985	6.837473
7897006	8.464903
7897026	5.532657
7897034	7.208692
7897044	6.970189
7897066	6.899768
7897068	9.267595
7897076	5.732557
7897078	8.205518
7897089	7.390623
7897119	7.59384
7897128	6.16624
7897132	6.441686
7897154	6.396724
7897172	7.152418
7897179	6.934783
7897196	5.591477
7897210	5.811397
7897227	5.531383
7897236	7.775693
7897257	7.153749
7897263	6.873539
7897277	5.231852
7897280	6.630768
7897286	7.190893
7897288	7.138705
7897293	8.166119
7897295	5.801335
7897305	6.580558
7897322	7.211709
7897329	6.753471
7897339	5.690103
7897368	4.796782
7897370	8.570103
7897378	6.270542
7897404	9.274878
7897416	5.54791
7897422	6.950741
7897424	5.247586
7897426	5.323732
7897439	6.104615
7897441	7.768196
7897449	7.998028
7897460	5.84449
7897469	6.52364
7897482	7.209939
7897509	5.456638
7897520	5.791505
7897522	7.291885
7897527	7.939007
7897559	4.581741
7897561	7.35815
7897620	8.202679
7897632	5.835566
7897648	8.019699
7897661	7.140343
7897663	7.862086
7897675	4.269969
7897683	3.077861
7897685	7.490617
7897691	6.093262
7897714	6.826486
7897728	7.249216
7897737	6.979176
7897745	8.882165
7897753	6.420901
7897774	6.827154
7897801	11.56522
7897803	8.307903
7897824	7.931127
7897849	7.936563
7897860	6.88826
7897877	8.264239
7897890	6.983737
7897953	7.481452
7897955	3.893055
7897960	3.947429
7897964	3.740597
7897966	4.782931
7897974	5.062249
7897978	3.607743
7897987	4.117752
7897991	6.856785
7897995	3.465573
7897997	5.596567
7898002	5.43297
7898007	4.51545
7898012	4.383862
7898020	4.88284
7898026	4.283336
7898030	5.864444
7898034	4.88284
7898040	4.383862
7898048	4.725015
7898052	6.259543
7898057	6.411853
7898070	7.236964
7898084	7.128379
7898102	5.668103
7898112	5.963671
7898115	6.616299
7898124	5.03457
7898161	9.371926
7898167	5.641837
7898176	5.085255
7898184	5.735285
7898192	6.582099
7898209	7.594688
7898211	7.099173
7898227	7.770897
7898249	6.488963
7898256	5.691862
7898263	7.719446
7898276	9.24731
7898278	8.283525
7898294	2.644227
7898296	4.983269
7898300	5.383779
7898314	5.24961
7898328	8.773564
7898337	8.408156
7898350	5.959492
7898353	5.839157
7898355	5.263267
7898357	6.151423
7898371	5.826247
7898373	4.129191
7898375	13.49166
7898377	6.67656
7898405	3.365067
7898407	4.751476
7898411	13.49166
7898413	5.611756
7898431	5.458974
7898448	5.415504
7898466	4.480873
7898483	7.366241
7898516	5.41571
7898521	5.942822
7898533	7.176205
7898535	3.490886
7898537	6.773148
7898549	7.317744
7898556	7.706914
7898568	6.041491
7898570	6.823252
7898572	3.124797
7898574	9.021629
7898582	7.282095
7898585	9.415255
7898594	6.188888
7898602	6.360036
7898607	6.834516
7898609	6.243071
7898616	5.517702
7898623	5.390124
7898627	5.753657
7898653	8.236971
7898655	6.227361
7898663	7.79975
7898673	6.331339
7898675	2.891831
7898677	8.384612
7898679	6.208596
7898693	7.391995
7898707	7.424714
7898713	7.021194
7898721	3.248981
7898723	6.743837
7898725	6.635581
7898732	3.860973
7898734	3.315114
7898736	6.168828
7898739	6.224004
7898750	6.088356
7898773	6.168498
7898793	10.66166
7898799	11.43091
7898805	10.75048
7898809	7.377868
7898833	7.713193
7898854	6.105264
7898856	7.852473
7898858	5.538591
7898869	6.317781
7898875	11.76123
7898881	6.702332
7898894	6.397169
7898902	9.245096
7898910	8.439761
7898916	5.6342
7898939	5.973293
7898957	7.333912
7898967	6.894768
7898975	9.346932
7898988	9.592057
7898998	5.027022
7899005	8.862679
7899016	8.872066
7899018	7.064848
7899023	7.181812
7899029	7.573114
7899043	9.247667
7899057	6.831535
7899069	5.469931
7899071	6.146025
7899073	3.564982
7899075	6.906733
7899087	6.167765
7899093	7.322268
7899096	7.659177
7899101	6.986603
7899124	4.759478
7899134	6.25577
7899151	3.315213
7899153	9.93947
7899160	10.35527
7899167	5.053666
7899173	6.887491
7899187	10.33623
7899192	7.851272
7899220	8.413483
7899244	6.733757
7899251	3.597697
7899253	8.071714
7899265	8.113991
7899273	8.085402
7899284	8.067488
7899287	8.020248
7899289	7.081552
7899310	6.91855
7899323	7.133433
7899343	7.175048
7899346	10.17391
7899348	6.564751
7899350	6.547009
7899361	7.792499
7899375	3.209272
7899377	7.349895
7899392	9.420172
7899394	8.386861
7899407	6.642162
7899417	6.605394
7899424	7.8583
7899436	5.837283
7899448	4.88797
7899455	7.452556
7899462	6.904978
7899480	13.38185
7899484	4.299636
7899486	6.933143
7899499	4.181944
7899502	11.86903
7899504	5.839227
7899517	3.355081
7899519	6.892467
7899528	6.264817
7899534	7.121663
7899560	7.209323
7899562	7.29178
7899595	6.078986
7899600	5.107855
7899602	4.915938
7899604	5.827341
7899615	7.823334
7899627	7.589992
7899643	6.338633
7899654	7.360519
7899675	7.145892
7899688	6.939089
7899703	7.586926
7899719	6.804555
7899727	6.239316
7899737	8.640783
7899750	6.588558
7899753	7.158813
7899774	7.193661
7899790	6.089427
7899797	5.996552
7899811	2.708255
7899813	8.571475
7899821	6.715777
7899829	6.933413
7899841	6.12751
7899849	6.37682
7899851	6.470007
7899870	8.714369
7899882	5.424142
7899884	4.483089
7899898	5.253908
7899905	6.280622
7899909	7.636696
7899911	5.26635
7899921	4.914167
7899927	5.718447
7899932	5.607867
7899939	7.608571
7899943	5.317636
7899955	11.36693
7899957	7.288293
7899988	2.903799
7899990	7.889948
7900001	7.535882
7900009	6.322347
7900030	7.476616
7900051	6.913388
7900076	5.776651
7900087	6.876588
7900095	8.71697
7900119	7.629991
7900129	6.742558
7900144	6.172919
7900146	7.184365
7900157	12.40816
7900159	6.289776
7900167	6.026197
7900181	3.388264
7900183	6.424358
7900192	7.287765
7900197	5.182
7900201	6.43308
7900212	4.526177
7900214	3.480486
7900216	8.656191
7900228	9.482053
7900235	7.911396
7900336	6.58738
7900340	6.550835
7900350	3.665858
7900352	6.774552
7900354	6.737828
7900365	5.255168
7900382	9.567913
7900395	6.338299
7900405	3.566469
7900409	4.804882
7900413	7.274795
7900426	9.730186
7900438	4.800648
7900446	5.523465
7900454	5.57115
7900461	4.382793
7900468	8.100835
7900488	4.418251
7900490	4.357182
7900492	6.486649
7900510	6.362652
7900531	6.778314
7900538	7.554912
7900540	5.950296
7900546	7.085088
7900555	3.79058
7900576	6.429178
7900585	11.09902
7900597	6.95617
7900603	5.121204
7900609	6.269413
7900624	5.42554
7900633	3.232296
7900635	4.934655
7900639	5.253023
7900652	3.807248
7900654	7.101034
7900658	6.225478
7900683	5.718364
7900699	7.246479
7900710	7.143726
7900792	7.902143
7900833	6.475143
7900857	6.959577
7900876	3.161755
7900878	6.642859
7900888	6.541196
7900911	6.204206
7900922	7.74563
7900931	8.482771
7900944	6.847575
7900957	5.652949
7900962	6.677211
7900977	2.851527
7900979	7.275437
7900999	5.977813
7901010	5.298892
7901036	4.057563
7901038	11.63256
7901046	13.01858
7901048	11.20646
7901050	9.708685
7901052	7.893637
7901054	7.896944
7901071	3.859019
7901073	7.701226
7901087	5.529618
7901091	6.672219
7901102	6.985543
7901110	7.911618
7901123	6.756247
7901135	6.673102
7901140	7.787996
7901175	4.850107
7901187	5.84203
7901192	6.079846
7901212	7.07478
7901219	6.184695
7901227	3.978734
7901229	5.657164
7901247	7.196907
7901253	5.329976
7901256	5.149234
7901272	5.841233
7901287	4.114502
7901293	6.055797
7901299	8.686018
7901309	7.863479
7901311	6.422638
7901314	5.966989
7901316	5.144796
7901334	2.948356
7901336	5.457422
7901338	3.786738
7901340	4.097846
7901342	3.871882
7901357	7.235705
7901359	3.592152
7901361	2.77715
7901363	5.665742
7901374	3.278706
7901376	7.241151
7901383	3.621389
7901385	7.464389
7901418	7.620891
7901426	5.090875
7901443	6.817309
7901445	7.096753
7901447	7.11181
7901460	7.677025
7901466	5.643201
7901477	6.204906
7901479	6.834382
7901497	5.073667
7901513	6.798794
7901535	9.647315
7901549	6.770887
7901557	7.351227
7901563	3.444546
7901565	5.096087
7901577	7.289464
7901592	6.079462
7901601	8.133538
7901611	5.959831
7901613	5.881096
7901634	5.673501
7901662	6.730299
7901675	4.288419
7901687	7.421102
7901691	5.313539
7901696	6.42276
7901710	2.539439
7901712	3.091966
7901714	5.893172
